,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Airai,TL,78.6,overcast clouds,-8.9266,125.4092,
2,East London,ZA,71.91,overcast clouds,-33.0153,27.9116,Tu Casa
3,Vao,NC,76.82,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
4,Kaputa,ZM,66.07,light rain,-8.4689,29.6619,Chelelwa Charlets
5,Port Elizabeth,ZA,73.09,broken clouds,-33.918,25.5701,39 On Nile Guest House
6,Lixourion,GR,59.85,scattered clouds,38.2019,20.4314,Hotel Summery
8,Lagoa,PT,62.42,clear sky,39.05,-27.9833,Casa Das Faias
10,Acapulco,MX,80.42,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
11,Puerto Madero,MX,75.4,few clouds,14.7208,-92.4215,DEPARTAMENTOS LA ESTANCIA
12,Sorrento,IT,57.25,overcast clouds,40.626,14.3744,Hilton Sorrento Palace
16,Hobart,AU,64.26,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
17,Makokou,GA,69.84,broken clouds,0.5738,12.8642,Hôtel Arizona
18,San Cristobal,VE,68.18,broken clouds,7.7669,-72.225,Pirineos
19,Kruisfontein,ZA,70.88,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
20,Chicama,PE,66.74,overcast clouds,-7.8447,-79.1469,Balihai Bungalows
22,Bredasdorp,ZA,68.38,light rain,-34.5322,20.0403,Bredasdorp Country Manor
23,Jalu,LY,59.65,clear sky,29.0331,21.5482,صاحبة الفخامة
24,Cangucu,BR,68.77,clear sky,-31.395,-52.6756,Tchê Parque
25,New Norfolk,AU,63.91,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
27,Itoman,JP,69.82,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
29,Ulladulla,AU,69.58,overcast clouds,-35.35,150.4667,Sandpiper Motel
30,Saint-Joseph,RE,71.98,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
31,Bonga,ET,58.03,light rain,7.2833,36.2333,Abelena bare and restorant
33,Punta Arenas,CL,50.11,broken clouds,-53.15,-70.9167,Hotel Hain
34,Rocha,UY,68.67,overcast clouds,-34.4833,-54.3333,Hotel Arrarte
36,Hambantota,LK,68.34,few clouds,6.1241,81.1185,Bungalow 63
38,Rikitea,PF,76.39,light rain,-23.1203,-134.9692,People ThankYou
40,Port Blair,IN,80.87,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Port Blair - Premium Hotel Near the Airport | Idyllic Island Experience Vacation"
41,Esperance,AU,62.69,clear sky,-33.8667,121.9,Hospitality Esperance
42,Vaini,TO,78.96,light intensity shower rain,-21.2,-175.2,Keleti Beach Resort
43,Avarua,CK,78.85,broken clouds,-21.2078,-159.775,Paradise Inn
44,Hermanus,ZA,70.81,light rain,-34.4187,19.2345,Misty Waves Boutique Hotel
45,Djenne,ML,70.77,clear sky,13.9061,-4.5533,Hôtel Chez Baba
46,Nishihara,JP,69.08,broken clouds,26.1842,127.7558,Minshuku Agaihama
51,Bambous Virieux,MU,76.21,clear sky,-20.3428,57.7575,Casa Tia Villa
52,Rio Gallegos,AR,51.03,light rain,-51.6226,-69.2181,Hotel Santa Cruz
53,Saint-Philippe,RE,72.99,scattered clouds,-21.3585,55.7679,Le four à pain
54,Cape Town,ZA,75.11,overcast clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
55,Busselton,AU,69.67,clear sky,-33.65,115.3333,Observatory Guest House
57,Comodoro Rivadavia,AR,62.46,clear sky,-45.8667,-67.5,Austral Hotel
58,Puerto Ayora,EC,69.55,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
59,Sabang,ID,77.63,overcast clouds,5.8933,95.3214,Hotel Citra
60,Araouane,ML,69.21,clear sky,18.9048,-3.5265,
61,Namibe,AO,66.94,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
62,Sao Joao Da Barra,BR,74.97,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
71,Nabire,ID,75.4,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
72,Broken Hill,AU,69.39,clear sky,-31.95,141.4333,Royal Exchange Hotel
74,Isangel,VU,83.21,few clouds,-19.55,169.2667,Tanna Lodge
75,Lebu,CL,57.78,clear sky,-37.6167,-73.65,Hostal Las Lilas
77,Arraial Do Cabo,BR,74.7,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
78,Romny,UA,50.81,overcast clouds,50.751,33.4747,Floriana
79,Victoria,HK,64.26,overcast clouds,22.2855,114.1577,Mini Central
80,Iquique,CL,71.64,overcast clouds,-20.2208,-70.1431,Backpacker`s Hostel Iquique
81,Limon,CR,75.06,broken clouds,10.0,-83.0333,Hotel Playa Bonita
84,Vila Franca Do Campo,PT,66.61,light rain,37.7167,-25.4333,Pestana Bahia Praia
85,Cidreira,BR,72.86,clear sky,-30.1811,-50.2056,Hotel Castelo
86,Toccoa,US,51.44,mist,34.5773,-83.3324,Quality Inn
88,Tuatapere,NZ,65.1,broken clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
89,Kavaratti,IN,81.63,broken clouds,10.5669,72.642,Green leaf
91,Flinders,AU,74.25,broken clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
93,Lukulu,ZM,66.83,light rain,-14.3707,23.242,Ruth Guest House
94,Safaga,EG,69.96,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
96,Harlingen,US,75.06,scattered clouds,26.1906,-97.6961,Courtyard by Marriott Harlingen
97,Mataura,NZ,63.48,broken clouds,-46.1927,168.8643,Ellie's Villa
99,Palapye,BW,71.73,broken clouds,-22.546,27.1251,Belle vue Bed & Breakfast
100,Kavieng,PG,84.61,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
105,Puerto Escondido,MX,77.83,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
109,Torit,SS,73.22,clear sky,4.4133,32.5678,Diplomat Guest House
