City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Airai,TL,-8.9266,125.4092,78.6,39,87,0.98,overcast clouds
1,Coihaique,CL,-45.5752,-72.0662,48.81,81,75,4.61,light rain
2,East London,ZA,-33.0153,27.9116,71.91,85,100,21.79,overcast clouds
3,Vao,NC,-22.6667,167.4833,76.82,70,10,15.05,clear sky
4,Kaputa,ZM,-8.4689,29.6619,66.07,88,98,3.98,light rain
5,Port Elizabeth,ZA,-33.918,25.5701,73.09,97,75,19.57,broken clouds
6,Lixourion,GR,38.2019,20.4314,59.85,67,25,11.48,scattered clouds
7,Fairbanks,US,64.8378,-147.7164,15.22,83,100,3.44,overcast clouds
8,Lagoa,PT,39.05,-27.9833,62.42,83,0,37.45,clear sky
9,Vikulovo,RU,56.8167,70.6107,15.67,92,100,14.23,light snow
10,Acapulco,MX,16.8634,-99.8901,80.42,74,20,6.91,few clouds
11,Puerto Madero,MX,14.7208,-92.4215,75.4,100,20,2.3,few clouds
12,Sorrento,IT,40.626,14.3744,57.25,81,100,11.12,overcast clouds
13,Chumikan,RU,54.7183,135.315,1.87,82,100,9.06,overcast clouds
14,Ushuaia,AR,-54.8,-68.3,44.26,81,75,12.66,broken clouds
15,Havre-Saint-Pierre,CA,50.2334,-63.5986,9.93,61,27,7.85,scattered clouds
16,Hobart,AU,-42.8794,147.3294,64.26,81,75,6.91,broken clouds
17,Makokou,GA,0.5738,12.8642,69.84,98,60,4.21,broken clouds
18,San Cristobal,VE,7.7669,-72.225,68.18,96,59,1.19,broken clouds
19,Kruisfontein,ZA,-34.0033,24.7314,70.88,93,95,11.39,overcast clouds
20,Chicama,PE,-7.8447,-79.1469,66.74,79,99,3.51,overcast clouds
21,Khuzhir,RU,53.1939,107.3397,-4.85,93,100,20.67,overcast clouds
22,Bredasdorp,ZA,-34.5322,20.0403,68.38,97,100,14.2,light rain
23,Jalu,LY,29.0331,21.5482,59.65,84,7,4.43,clear sky
24,Cangucu,BR,-31.395,-52.6756,68.77,83,0,7.29,clear sky
25,New Norfolk,AU,-42.7826,147.0587,63.91,68,100,1.01,overcast clouds
26,Lompoc,US,34.6391,-120.4579,47.79,91,0,4.61,clear sky
27,Itoman,JP,26.1247,127.6694,69.82,68,75,13.8,broken clouds
28,Nanortalik,GL,60.1432,-45.2371,21.34,80,5,5.41,clear sky
29,Ulladulla,AU,-35.35,150.4667,69.58,57,93,14.36,overcast clouds
30,Saint-Joseph,RE,-21.3667,55.6167,71.98,82,28,10.51,scattered clouds
31,Bonga,ET,7.2833,36.2333,58.03,96,47,1.32,light rain
32,Tiksi,RU,71.6872,128.8694,-18.71,95,100,12.08,overcast clouds
33,Punta Arenas,CL,-53.15,-70.9167,50.11,71,79,9.84,broken clouds
34,Rocha,UY,-34.4833,-54.3333,68.67,90,100,5.7,overcast clouds
35,Jamestown,US,42.097,-79.2353,34.02,75,100,9.22,light snow
36,Hambantota,LK,6.1241,81.1185,68.34,100,20,1.14,few clouds
37,Broome,US,42.2506,-75.833,34.86,84,100,5.75,mist
38,Rikitea,PF,-23.1203,-134.9692,76.39,80,6,18.1,light rain
39,Vestmannaeyjar,IS,63.4427,-20.2734,34.45,59,5,8.63,clear sky
40,Port Blair,IN,11.6667,92.75,80.87,76,100,6.13,overcast clouds
41,Esperance,AU,-33.8667,121.9,62.69,51,1,9.64,clear sky
42,Vaini,TO,-21.2,-175.2,78.96,89,75,14.97,light intensity shower rain
43,Avarua,CK,-21.2078,-159.775,78.85,65,75,9.22,broken clouds
44,Hermanus,ZA,-34.4187,19.2345,70.81,92,100,17.38,light rain
45,Djenne,ML,13.9061,-4.5533,70.77,14,1,9.01,clear sky
46,Nishihara,JP,26.1842,127.7558,69.08,71,75,13.8,broken clouds
47,Stykkisholmur,IS,65.0757,-22.7297,29.37,70,6,5.79,clear sky
48,Sitka,US,57.0531,-135.33,30.09,69,100,0.0,mist
49,Albany,US,42.6001,-73.9662,30.16,91,100,3.74,snow
50,Tuktoyaktuk,CA,69.4541,-133.0374,-12.8,94,7,14.58,clear sky
51,Bambous Virieux,MU,-20.3428,57.7575,76.21,73,6,13.44,clear sky
52,Rio Gallegos,AR,-51.6226,-69.2181,51.03,74,100,7.27,light rain
53,Saint-Philippe,RE,-21.3585,55.7679,72.99,83,49,11.03,scattered clouds
54,Cape Town,ZA,-33.9258,18.4232,75.11,83,100,11.99,overcast clouds
55,Busselton,AU,-33.65,115.3333,69.67,38,0,11.52,clear sky
56,Lebyazhye,RU,55.2689,66.4947,15.15,80,100,13.65,overcast clouds
57,Comodoro Rivadavia,AR,-45.8667,-67.5,62.46,42,0,14.97,clear sky
58,Puerto Ayora,EC,-0.7393,-90.3518,69.55,94,79,6.58,broken clouds
59,Sabang,ID,5.8933,95.3214,77.63,83,100,11.74,overcast clouds
60,Araouane,ML,18.9048,-3.5265,69.21,15,0,8.86,clear sky
61,Namibe,AO,-15.1961,12.1522,66.94,81,46,4.59,scattered clouds
62,Sao Joao Da Barra,BR,-21.6403,-41.0511,74.97,92,5,4.99,clear sky
63,Labytnangi,RU,66.6572,66.4183,-18.2,99,100,4.56,overcast clouds
64,Upernavik,GL,72.7868,-56.1549,4.39,95,54,16.89,broken clouds
65,Yellowknife,CA,62.456,-114.3525,-22.76,100,100,3.94,overcast clouds
66,Husavik,IS,66.0449,-17.3389,21.45,86,30,13.76,scattered clouds
67,Khatanga,RU,71.9667,102.5,-0.29,94,100,15.39,overcast clouds
68,Longyearbyen,SJ,78.2186,15.6401,10.24,56,75,13.8,broken clouds
69,Vostok,RU,46.4856,135.8833,8.69,72,100,3.27,overcast clouds
70,Barrow,US,71.2906,-156.7887,6.82,78,0,23.02,clear sky
71,Nabire,ID,-3.3667,135.4833,75.4,96,100,2.28,overcast clouds
72,Broken Hill,AU,-31.95,141.4333,69.39,24,0,23.15,clear sky
73,Shitanjing,CN,39.2342,106.3439,17.46,30,0,16.64,clear sky
74,Isangel,VU,-19.55,169.2667,83.21,70,13,9.86,few clouds
75,Lebu,CL,-37.6167,-73.65,57.78,82,0,15.79,clear sky
76,Qaanaaq,GL,77.484,-69.3632,-12.24,65,0,10.76,clear sky
77,Arraial Do Cabo,BR,-22.9661,-42.0278,74.7,93,43,5.91,scattered clouds
78,Romny,UA,50.751,33.4747,50.81,95,100,18.12,overcast clouds
79,Victoria,HK,22.2855,114.1577,64.26,74,100,15.01,overcast clouds
80,Iquique,CL,-20.2208,-70.1431,71.64,76,88,1.52,overcast clouds
81,Limon,CR,10.0,-83.0333,75.06,80,59,1.59,broken clouds
82,Provideniya,RU,64.3833,-173.3,17.71,67,100,18.01,overcast clouds
83,Leningradskiy,RU,69.3833,178.4167,-0.04,96,100,15.88,light snow
84,Vila Franca Do Campo,PT,37.7167,-25.4333,66.61,86,100,24.02,light rain
85,Cidreira,BR,-30.1811,-50.2056,72.86,92,3,15.19,clear sky
86,Toccoa,US,34.5773,-83.3324,51.44,98,100,3.44,mist
87,Yar-Sale,RU,66.8333,70.8333,-19.8,99,54,8.48,broken clouds
88,Tuatapere,NZ,-46.1333,167.6833,65.1,68,71,5.93,broken clouds
89,Kavaratti,IN,10.5669,72.642,81.63,69,74,17.05,broken clouds
90,Norrtalje,SE,59.758,18.705,31.01,83,100,10.04,overcast clouds
91,Flinders,AU,-34.5833,150.8552,74.25,62,71,12.41,broken clouds
92,Mehamn,NO,71.0357,27.8492,22.95,74,69,20.71,broken clouds
93,Lukulu,ZM,-14.3707,23.242,66.83,92,100,3.18,light rain
94,Safaga,EG,26.7292,33.9365,69.96,31,5,3.87,clear sky
95,Chokurdakh,RU,70.6333,147.9167,-23.46,99,100,7.2,overcast clouds
96,Harlingen,US,26.1906,-97.6961,75.06,92,40,8.05,scattered clouds
97,Mataura,NZ,-46.1927,168.8643,63.48,42,62,4.34,broken clouds
98,Jumla,NP,29.2747,82.1838,42.06,15,0,5.06,clear sky
99,Palapye,BW,-22.546,27.1251,71.73,70,66,9.93,broken clouds
100,Kavieng,PG,-2.5744,150.7967,84.61,70,100,8.48,overcast clouds
101,Tasiilaq,GL,65.6145,-37.6368,26.76,52,0,4.07,clear sky
102,Thompson,CA,55.7435,-97.8558,24.26,96,100,6.71,overcast clouds
103,Ostrovnoy,RU,68.0531,39.5131,19.81,94,100,11.39,snow
104,Hay River,CA,60.8156,-115.7999,-10.07,97,100,3.24,overcast clouds
105,Puerto Escondido,MX,15.85,-97.0667,77.83,78,0,3.44,clear sky
106,Villach,AT,46.6103,13.8558,28.49,92,87,1.79,overcast clouds
107,Eenhana,NA,-17.4667,16.3333,66.4,25,100,6.4,overcast clouds
108,Luderitz,NA,-26.6481,15.1594,62.01,94,15,2.73,few clouds
109,Torit,SS,4.4133,32.5678,73.22,65,4,2.73,clear sky
110,Ginir,ET,7.1333,40.7,53.42,51,0,4.9,clear sky
111,Bukan,IR,36.521,46.2089,34.3,59,12,4.25,few clouds
112,Korla,CN,41.7597,86.1469,15.6,59,14,3.6,few clouds
113,Nikolskoye,RU,59.7035,30.7861,21.09,89,100,13.53,light snow
114,Aksarka,RU,66.5606,67.7975,-16.85,98,97,7.34,overcast clouds
115,Kaitangata,NZ,-46.2817,169.8464,62.47,71,54,10.83,broken clouds
116,Port Alfred,ZA,-33.5906,26.891,67.17,97,95,7.0,overcast clouds
117,Hamilton,US,39.1834,-84.5333,42.94,77,100,4.61,overcast clouds
118,Ancud,CL,-41.8697,-73.8203,52.32,84,100,7.7,light rain
119,Narsaq,GL,60.9167,-46.05,21.42,63,15,8.81,few clouds
120,Ilhabela,BR,-23.7781,-45.3581,74.98,92,65,6.2,broken clouds
121,Atuona,PF,-9.8,-139.0333,78.42,77,17,18.68,few clouds
122,Gornopravdinsk,RU,60.05,69.9,0.45,96,100,10.27,snow
123,Camacupa,AO,-12.0167,17.4833,61.83,94,100,3.29,light rain
124,Butaritari,KI,3.0707,172.7902,80.83,73,100,11.03,overcast clouds
125,Kodiak,US,57.79,-152.4072,38.71,100,100,4.61,light rain
126,Cherskiy,RU,68.75,161.3,-29.29,95,100,5.01,overcast clouds
127,Westport,US,41.1415,-73.3579,38.75,87,100,12.66,snow
128,Taoudenni,ML,22.6783,-3.9836,73.83,14,0,1.9,clear sky
129,Bathsheba,BB,13.2167,-59.5167,75.06,83,20,6.91,few clouds
130,Vermilion,US,40.1667,-87.7506,36.55,82,100,3.44,overcast clouds
131,Sisimiut,GL,66.9395,-53.6735,17.98,84,11,9.48,few clouds
132,Grand Gaube,MU,-20.0064,57.6608,76.37,70,0,5.01,clear sky
133,Tromso,NO,69.6496,18.957,21.22,73,9,10.36,clear sky
134,Mahebourg,MU,-20.4081,57.7,76.24,75,9,13.56,clear sky
135,Knysna,ZA,-34.0363,23.0471,69.3,96,100,5.64,overcast clouds
136,Avera,US,33.194,-82.5271,53.38,92,100,2.19,light rain
137,Taseyevo,RU,57.2169,94.8978,-21.91,95,46,5.26,scattered clouds
138,Watford,GB,51.6553,-0.396,33.22,97,100,5.75,light snow
139,Georgetown,MY,5.4112,100.3354,81.9,79,20,4.61,few clouds
140,College,US,64.8569,-147.8028,15.21,82,100,3.44,overcast clouds
141,Baykit,RU,61.67,96.37,-15.72,97,100,3.98,overcast clouds
142,Guerrero Negro,MX,27.9769,-114.0611,59.97,75,100,10.83,overcast clouds
143,Wattegama,LK,6.7989,81.4808,74.89,78,94,1.83,overcast clouds
144,Cabo San Lucas,MX,22.8909,-109.9124,74.52,63,0,2.3,clear sky
145,Saskylakh,RU,71.9167,114.0833,-2.34,94,100,12.41,overcast clouds
146,Novyy Urengoy,RU,66.0833,76.6333,-18.9,98,100,7.36,overcast clouds
147,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,78.39,77,93,5.44,overcast clouds
148,Muncar,ID,-8.4333,114.3333,84.51,69,76,1.66,broken clouds
149,Bluff,NZ,-46.6,168.3333,63.81,79,29,15.55,scattered clouds
150,Sinjai,ID,-5.1241,120.253,86.13,62,100,4.32,overcast clouds
151,Elizabeth City,US,36.2946,-76.2511,51.82,88,100,5.75,overcast clouds
152,Ambon,ID,-3.6954,128.1814,84.45,69,99,6.15,overcast clouds
153,Dikson,RU,73.5069,80.5464,19.22,94,100,17.29,light snow
154,Richards Bay,ZA,-28.783,32.0377,71.42,93,100,1.54,light rain
155,Valls,ES,41.2861,1.2499,42.66,87,0,6.91,clear sky
156,Dudinka,RU,69.4058,86.1778,-8.95,97,100,17.07,light snow
157,Gadsden,US,34.0143,-86.0066,58.01,98,100,4.61,mist
158,Bethel,US,41.3712,-73.414,32.36,86,100,5.75,light snow
159,Harper,LR,4.375,-7.7169,77.59,86,30,6.53,light rain
160,Kattivakkam,IN,13.2167,80.3167,80.69,84,70,11.18,broken clouds
161,Ziarat,PK,30.3823,67.7282,34.21,82,57,1.61,broken clouds
162,Tabou,CI,4.423,-7.3528,77.32,86,31,5.7,light rain
163,Buala,SB,-8.145,159.5921,85.33,67,20,4.16,light rain
164,Sokur,RU,55.2093,83.319,-23.44,99,14,6.11,few clouds
165,Edson,CA,53.5835,-116.4356,-0.44,97,89,3.44,overcast clouds
166,Alibag,IN,18.6411,72.8792,80.67,60,40,5.23,scattered clouds
167,Naples,IT,40.8333,14.25,57.74,68,0,5.75,clear sky
168,Mersing,MY,2.4312,103.8405,80.06,80,100,0.96,light rain
169,Conceicao Do Araguaia,BR,-8.2578,-49.2647,74.8,88,97,1.9,overcast clouds
170,Sao Filipe,CV,14.8961,-24.4956,77.41,73,0,7.78,clear sky
171,Te Anau,NZ,-45.4167,167.7167,69.84,51,55,5.19,broken clouds
172,Puerto Del Rosario,ES,28.5004,-13.8627,65.95,88,0,3.44,clear sky
173,Hassleholm,SE,56.1591,13.7664,17.76,87,29,5.61,scattered clouds
174,Vryburg,ZA,-26.9566,24.7284,66.51,81,100,5.7,overcast clouds
175,Paamiut,GL,61.994,-49.6678,19.31,63,0,8.37,clear sky
176,Deputatskiy,RU,69.3,139.9,-28.88,94,100,6.8,overcast clouds
177,Carnarvon,AU,-24.8667,113.6333,75.52,63,0,15.68,clear sky
178,Irbeyskoye,RU,55.6428,95.4522,-17.07,95,20,3.96,few clouds
