City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Cape Coral,US,2022-10-30 23:26:34,26.5629,-81.9495,84.0,61,0,6.91
1,Hobart,AU,2022-10-30 23:21:45,-42.8794,147.3294,67.86,64,20,24.16
2,Nanortalik,GL,2022-10-30 23:26:34,60.1432,-45.2371,25.5,69,99,8.97
3,Tamworth,GB,2022-10-30 23:25:25,52.634,-1.6959,54.52,91,77,7.0
4,Whitehaven,GB,2022-10-30 23:26:35,54.549,-3.5841,54.66,100,21,14.0
5,Athabasca,CA,2022-10-30 23:26:35,54.7169,-113.2854,48.61,35,49,17.52
6,Lebu,CL,2022-10-30 23:26:36,-37.6167,-73.65,50.94,74,0,23.78
7,Saskylakh,RU,2022-10-30 23:26:36,71.9167,114.0833,4.37,97,98,5.06
8,Arraial Do Cabo,BR,2022-10-30 23:26:37,-22.9661,-42.0278,74.59,90,41,27.85
9,Lata,PT,2022-10-30 23:26:37,40.1629,-8.3327,63.81,76,100,3.85
10,Pouebo,NC,2022-10-30 23:26:37,-20.4,164.5667,81.77,59,0,1.57
11,San Patricio,US,2022-10-30 23:26:38,28.017,-97.5169,78.89,38,48,2.15
12,Balikpapan,ID,2022-10-30 23:26:38,-1.2675,116.8289,79.79,94,20,4.61
13,Vengerovo,RU,2022-10-30 23:26:39,55.6848,76.7471,22.93,87,74,7.16
14,Pointe Michel,DM,2022-10-30 23:26:39,15.25,-61.3833,75.49,78,98,5.1
15,Kapaa,US,2022-10-30 23:26:40,22.0752,-159.319,85.98,73,40,14.97
16,Niamey,NE,2022-10-30 23:25:12,13.5137,2.1098,80.89,26,0,2.3
17,Shaunavon,CA,2022-10-30 23:26:41,49.6501,-108.4181,51.58,44,3,16.42
18,Zhuhai,CN,2022-10-30 23:26:41,22.2769,113.5678,73.18,64,20,24.16
19,Cabo San Lucas,MX,2022-10-30 23:23:19,22.8909,-109.9124,84.61,57,20,12.66
20,Albany,US,2022-10-30 23:24:20,42.6001,-73.9662,54.01,44,99,2.89
21,Punta Arenas,CL,2022-10-30 23:26:42,-53.15,-70.9167,44.71,65,0,19.57
22,Nikolskoye,RU,2022-10-30 23:26:42,59.7035,30.7861,37.29,61,2,14.27
23,Cockburn Town,TC,2022-10-30 23:26:43,21.4612,-71.1419,82.13,76,2,17.9
24,Norman Wells,CA,2022-10-30 23:26:43,65.282,-126.8329,15.84,86,100,5.75
25,Virginia Beach,US,2022-10-30 23:24:15,36.8529,-75.978,61.02,93,75,5.75
26,Cape Town,ZA,2022-10-30 23:22:11,-33.9258,18.4232,59.27,60,0,21.85
27,Ushuaia,AR,2022-10-30 23:26:44,-54.8,-68.3,40.66,81,40,36.82
28,Yellowknife,CA,2022-10-30 23:26:44,62.456,-114.3525,23.56,86,100,11.5
29,Vaini,TO,2022-10-30 23:26:45,-21.2,-175.2,80.76,83,100,9.22
30,Lompoc,US,2022-10-30 23:26:45,34.6391,-120.4579,81.84,85,0,14.97
31,Smithers,CA,2022-10-30 23:26:45,54.7804,-127.1743,44.92,39,20,10.36
32,Alakurtti,RU,2022-10-30 23:26:46,66.9672,30.3491,28.38,87,25,6.91
